Entity ID,Plant ID,Sector,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Latitude,Longitude
29305,30,Electric Utility,1.1,0.9,1.0,Natural Gas Internal Combustion Engine,1,1959, , ,OP,44.050100,-94.417800
29305,30,Electric Utility,4.3,3.7,4.0,Natural Gas Internal Combustion Engine,6,1973, , ,OP,44.050100,-94.417800
29305,30,Electric Utility,1.3,1.1,1.2,Natural Gas Internal Combustion Engine,3,1954, , ,OP,44.050100,-94.417800
13402,34,IPP Non-CHP,12.1,12.1,12.1,Conventional Hydroelectric,8,1980, , ,OP,39.134259,-120.953300
27813,38,Electric Utility,33.7,30.0,30.0,Conventional Hydroelectric,4,1970, , ,OP,32.100881,-87.399770
27813,38,Electric Utility,33.7,30.0,30.0,Conventional Hydroelectric,4,1970, , ,OP,32.100881,-87.399770
27813,38,Electric Utility,33.7,30.0,30.0,Conventional Hydroelectric,5,1970, , ,OP,32.100881,-87.399770
18642,46,Electric Utility,"1,152.0","1,255.8","1,286.7",Nuclear,8,1974, , ,OP,34.704200,-87.118900
18642,46,Electric Utility,"1,152.0","1,258.7","1,290.2",Nuclear,3,1975, , ,OP,34.704200,-87.118900
18642,46,Electric Utility,"1,190.0","1,259.9","1,289.2",Nuclear,3,1977, , ,OP,34.704200,-87.118900
18642,47,Electric Utility,59.5,45.4,60.8,Natural Gas Fired Combustion Turbine,9,1972, , ,OP,34.743900,-87.848600
18642,47,Electric Utility,59.5,45.4,60.8,Natural Gas Fired Combustion Turbine,9,1972, , ,OP,34.743900,-87.848600
18642,47,Electric Utility,59.5,45.4,60.8,Natural Gas Fired Combustion Turbine,9,1972, , ,OP,34.743900,-87.848600
18642,47,Electric Utility,59.5,45.4,60.8,Natural Gas Fired Combustion Turbine,9,1972, , ,OP,34.743900,-87.848600
18642,47,Electric Utility,59.5,45.4,60.8,Natural Gas Fired Combustion Turbine,9,1972, , ,OP,34.743900,-87.848600
18642,47,Electric Utility,59.5,45.4,60.8,Natural Gas Fired Combustion Turbine,9,1972, , ,OP,34.743900,-87.848600
18642,47,Electric Utility,59.5,45.4,60.8,Natural Gas Fired Combustion Turbine,9,1972, , ,OP,34.743900,-87.848600
18642,47,Electric Utility,59.5,45.4,60.8,Natural Gas Fired Combustion Turbine,9,1972, , ,OP,34.743900,-87.848600
18642,48,Electric Utility,28.8,31.0,31.4,Conventional Hydroelectric,8,1939, , ,OP,34.421272,-86.393930
18642,48,Electric Utility,28.8,30.6,31.1,Conventional Hydroelectric,10,1939, , ,OP,34.421272,-86.393930
18642,48,Electric Utility,28.8,29.8,30.3,Conventional Hydroelectric,12,1939, , ,OP,34.421272,-86.393930
18642,48,Electric Utility,28.8,31.3,31.7,Conventional Hydroelectric,3,1952, , ,OP,34.421272,-86.393930
18642,49,Electric Utility,35.1,34.1,35.6,Conventional Hydroelectric,11,1936, , ,OP,34.806900,-87.381900
18642,49,Electric Utility,36.0,41.9,38.3,Conventional Hydroelectric,6,1963, , ,OP,34.806900,-87.381900
18642,49,Electric Utility,43.6,41.9,38.2,Conventional Hydroelectric,12,1963, , ,OP,34.806900,-87.381900
18642,49,Electric Utility,35.1,33.2,30.1,Conventional Hydroelectric,4,1937, , ,OP,34.806900,-87.381900
18642,49,Electric Utility,35.1,33.6,30.4,Conventional Hydroelectric,1,1941, , ,OP,34.806900,-87.381900
