Entity ID,Plant ID,Sector,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Latitude,Longitude
49893,50949,IPP Non-CHP,86.5,70,84,Natural Gas Fired Combustion Turbine,1,1993, , ,OP,27.6364,-81.9636
49893,50949,IPP Non-CHP,95.9,85,85,Natural Gas Fired Combustion Turbine,5,2000, , ,OP,27.6364,-81.9636
21734,50951,IPP Non-CHP,58.1,51,51,Conventional Steam Coal,2,1993, , ,OP,39.5472,-110.3917
4440,50960,Commercial Non-CHP,45,37.5,38.5,Municipal Solid Waste,2,1994, , ,OP,40.601264,-74.26637
64078,50961,IPP Non-CHP,4.2,4,3.9,Conventional Hydroelectric,5,1990, , ,OP,40.976859,-122.4563
2844,50963,Commercial CHP,5.3,4.4,4.4,Natural Gas Fired Combustion Turbine,12,2003, , ,OP,32.7261,-117.1464
472,50964,IPP Non-CHP,1.5,1.1,0.7,Geothermal,8,1988, , ,OP,40.300833,-120.105
472,50964,IPP Non-CHP,1.5,1.1,0.7,Geothermal,8,1988, , ,OP,40.300833,-120.105
18323,50965,Industrial CHP,6,6,6,Petroleum Coke,6,1986, , ,OP,41.6325,-83.5042
34359,50969,Commercial CHP,0.3,0.3,0.3,Natural Gas Steam Turbine,12,2017, , ,OP,38.9461,-92.3328
34359,50969,Commercial CHP,2,2,2,Petroleum Liquids,9,2002, , ,SB,38.9461,-92.3328
34359,50969,Commercial CHP,12.5,12.2,12.3,Natural Gas Steam Turbine,7,1974, , ,OP,38.9461,-92.3328
34359,50969,Commercial CHP,19.8,19.2,19.4,Natural Gas Steam Turbine,8,1986, , ,OP,38.9461,-92.3328
34359,50969,Commercial CHP,14.5,13.3,13.4,Natural Gas Steam Turbine,7,1988, , ,OP,38.9461,-92.3328
34359,50969,Commercial CHP,1,1,1,Petroleum Liquids,6,1997, , ,SB,38.9461,-92.3328
34359,50969,Commercial CHP,17.3,11.4,14.5,Natural Gas Fired Combustion Turbine,9,2002, , ,OP,38.9461,-92.3328
34359,50969,Commercial CHP,17.3,11.4,14.5,Natural Gas Fired Combustion Turbine,9,2002, , ,OP,38.9461,-92.3328
19216,50971,Industrial CHP,46.8,31,35,Natural Gas Fired Combustion Turbine,2,1990, , ,OP,27.483358,-82.54834
11716,50972,IPP Non-CHP,1.6,1.5,1.5,Conventional Hydroelectric,4,1993, , ,OP,42.625972,-112.1493
12981,50973,Industrial CHP,10,8.4,8.6,Other Gases,6,1962, , ,OP,29.888462,-93.95098
12981,50973,Industrial CHP,15.6,10.5,10.7,Other Gases,6,1957, , ,OP,29.888462,-93.95098
12981,50973,Industrial CHP,25.5,21.5,22,Other Gases,6,1978, , ,OP,29.888462,-93.95098
12981,50973,Industrial CHP,18.8,15.6,16,Natural Gas Fired Combustion Turbine,6,1970, , ,OP,29.888462,-93.95098
12981,50973,Industrial CHP,40.5,39,38,Natural Gas Fired Combined Cycle,12,1983, , ,OP,29.888462,-93.95098
12981,50973,Industrial CHP,41.6,36.1,46.4,Natural Gas Fired Combined Cycle,12,2011, , ,OP,29.888462,-93.95098
12981,50973,Industrial CHP,41.6,36.1,46.4,Natural Gas Fired Combined Cycle,11,2011, , ,OP,29.888462,-93.95098
12981,50973,Industrial CHP,41.6,36.1,46.4,Natural Gas Fired Combined Cycle,11,2011, , ,OP,29.888462,-93.95098
12981,50973,Industrial CHP,41.6,36.1,46.4,Natural Gas Fired Combined Cycle,10,2011, , ,OP,29.888462,-93.95098
16814,50974,IPP Non-CHP,94.7,82.5,85.2,Conventional Steam Coal,6,1993, , ,OP,41.2691,-79.8134
24202,50978,IPP Non-CHP,48.8,35,40,Natural Gas Fired Combined Cycle,7,1993, , ,OP,43.06132,-76.08239
24202,50978,IPP Non-CHP,48.8,35,40,Natural Gas Fired Combined Cycle,7,1993, , ,OP,43.06132,-76.08239
24202,50978,IPP Non-CHP,25,23,25,Natural Gas Fired Combined Cycle,7,1993, , ,OP,43.06132,-76.08239
3220,50980,IPP Non-CHP,2.7,2.7,2.7,Conventional Hydroelectric,8,1989, , ,OP,44.033022,-121.3297
3220,50980,IPP Non-CHP,2.7,2.7,2.7,Conventional Hydroelectric,8,1989, , ,OP,44.033022,-121.3297
17711,50985,Commercial CHP,1,1,1,Natural Gas Internal Combustion Engine,6,1989, , ,OP,38.2494,-122.0394
17711,50985,Commercial CHP,0.4,0.4,0.4,Natural Gas Internal Combustion Engine,6,1989, , ,OP,38.2494,-122.0394
17711,50985,Commercial CHP,1.4,1.4,1,Natural Gas Internal Combustion Engine,12,2004, , ,OP,38.2494,-122.0394
17150,50987,IPP Non-CHP,2.1,2,1,Conventional Hydroelectric,9,1983, , ,OP,42.632483,-114.5388
3930,50993,IPP CHP,7.5,7.8,7.3,Wood/Wood Waste Biomass,10,1987, , ,SB,42.961126,-123.3591
39006,50999,IPP Non-CHP,6.7,6.8,6.8,Conventional Hydroelectric,6,1988, , ,OP,44.9439,-70.9975
11415,51008,Industrial CHP,1,1,1,Other Waste Biomass,10,1981, , ,OP,29.903611,-91.72556
11415,51008,Industrial CHP,2,2,2,Other Waste Biomass,10,1981, , ,SB,29.903611,-91.72556
54824,51026,IPP Non-CHP,21.5,20,20,Wood/Wood Waste Biomass,9,1992, , ,OP,44.2131,-72.0572
27769,51030,IPP Non-CHP,82.8,71.2,77.8,Natural Gas Fired Combined Cycle,12,1990, , ,OP,42.009722,-71.66891
27769,51030,IPP Non-CHP,82.8,71.2,77.8,Natural Gas Fired Combined Cycle,12,1990, , ,OP,42.009722,-71.66891
27769,51030,IPP Non-CHP,88.6,76.2,83.3,Natural Gas Fired Combined Cycle,12,1990, , ,OP,42.009722,-71.66891
5914,51033,IPP Non-CHP,7.5,7,7.6,Conventional Hydroelectric,12,1988, , ,OP,41.859601,-74.51026
57280,51034,IPP Non-CHP,6.5,6.5,6.5,Conventional Hydroelectric,1,1987, , ,OP,43.040335,-74.85062
57280,51034,IPP Non-CHP,6.5,6.5,6.5,Conventional Hydroelectric,1,1987, , ,OP,43.040335,-74.85062
56601,51038,Commercial Non-CHP,12.5,11,11,Municipal Solid Waste,3,1990, , ,OP,40.7869,-73.1064
10875,52010,IPP Non-CHP,39,39,39,Municipal Solid Waste,9,1994,9,2029,OP,26.631549,-81.76066
10875,52010,IPP Non-CHP,20,16,16,Municipal Solid Waste,8,2007,8,2072,OP,26.631549,-81.76066
34691,52015,IPP Non-CHP,64.7,56,57,Geothermal,6,1988, , ,OP,39.9663,-117.8557
34691,52015,IPP Non-CHP,6.2,2.5,5.1,Geothermal,4,2012, , ,OP,39.9663,-117.8557
5310,52019,IPP Non-CHP,122,112.5,122,Natural Gas Fired Combined Cycle,11,1991, , ,OP,37.820805,-77.44625
5310,52019,IPP Non-CHP,122,112.5,122,Natural Gas Fired Combined Cycle,12,1991, , ,OP,37.820805,-77.44625
5310,52019,IPP Non-CHP,132,123,132,Natural Gas Fired Combined Cycle,12,1991, , ,OP,37.820805,-77.44625
5310,52019,IPP Non-CHP,122,112.5,122,Natural Gas Fired Combined Cycle,1,1992, , ,OP,37.820805,-77.44625
5310,52019,IPP Non-CHP,122,112.5,122,Natural Gas Fired Combined Cycle,1,1992, , ,OP,37.820805,-77.44625
5310,52019,IPP Non-CHP,132,123,132,Natural Gas Fired Combined Cycle,1,1992, , ,OP,37.820805,-77.44625
5310,52019,IPP Non-CHP,187,170,188,Natural Gas Fired Combustion Turbine,3,2001, , ,OP,37.820805,-77.44625
5310,52019,IPP Non-CHP,187,161.5,188,Natural Gas Fired Combustion Turbine,3,2018, , ,OP,37.820805,-77.44625
5310,52019,IPP Non-CHP,187,161.5,188,Natural Gas Fired Combustion Turbine,4,2018, , ,OP,37.820805,-77.44625
16001,52024,Commercial CHP,1.7,1.7,1.7,Natural Gas Steam Turbine,10,1974, , ,OP,41.8103,-71.41
16001,52024,Commercial CHP,1.7,1.7,1.7,Natural Gas Steam Turbine,10,1974, , ,OP,41.8103,-71.41
16001,52024,Commercial CHP,3.5,3.5,3.5,Natural Gas Steam Turbine,12,1993, , ,OP,41.8103,-71.41
16001,52024,Commercial CHP,3.5,3.5,3.5,Natural Gas Steam Turbine,9,1993, , ,OP,41.8103,-71.41
56516,52026,IPP Non-CHP,41.9,62.1,67.7,Natural Gas Fired Combined Cycle,3,1992, , ,OP,41.6731,-70.9994
56516,52026,IPP Non-CHP,32.2, , ,Natural Gas Fired Combined Cycle,3,1992, , ,OP,41.6731,-70.9994
56516,52026,IPP Non-CHP,23.3,19.6,21.8,Natural Gas Fired Combustion Turbine,9,2009, , ,OP,41.6731,-70.9994
3608,52028,IPP Non-CHP,3.5,3.1,3.1,Geothermal,8,1992, , ,OP,19.478976,-154.8884
3608,52028,IPP Non-CHP,3.5,3.1,3.1,Geothermal,8,1992, , ,OP,19.478976,-154.8884
3608,52028,IPP Non-CHP,3.5,3.1,3.1,Geothermal,8,1992, , ,OP,19.478976,-154.8884
3608,52028,IPP Non-CHP,3.5,3.1,3.1,Geothermal,8,1992, , ,OP,19.478976,-154.8884
3608,52028,IPP Non-CHP,3.5,3.1,3.1,Geothermal,8,1992, , ,OP,19.478976,-154.8884
3608,52028,IPP Non-CHP,3.5,3.1,3.1,Geothermal,8,1992, , ,OP,19.478976,-154.8884
3608,52028,IPP Non-CHP,3.5,3.1,3.1,Geothermal,8,1992, , ,OP,19.478976,-154.8884
3608,52028,IPP Non-CHP,3.5,3.1,3.1,Geothermal,8,1992, , ,OP,19.478976,-154.8884
3608,52028,IPP Non-CHP,3.5,3.1,3.1,Geothermal,8,1992, , ,OP,19.478976,-154.8884
3608,52028,IPP Non-CHP,3.5,3.1,3.1,Geothermal,8,1992, , ,OP,19.478976,-154.8884
3608,52028,IPP Non-CHP,8,6,6,Geothermal,2,2012, , ,OP,19.478976,-154.8884
3608,52028,IPP Non-CHP,8,6,6,Geothermal,2,2012, , ,OP,19.478976,-154.8884
59092,52033,IPP Non-CHP,1.2,0.5,0.5,Conventional Hydroelectric,1,1989, , ,OP,44.285945,-72.71032
4713,52036,IPP Non-CHP,6.1,6.1,5,Conventional Hydroelectric,12,1989, , ,OP,39.801637,-79.36821
4713,52036,IPP Non-CHP,6.1,6.1,5,Conventional Hydroelectric,12,1989, , ,OP,39.801637,-79.36821
31613,52039,IPP Non-CHP,2.3,2.3,2.3,Conventional Hydroelectric,6,1985, , ,OP,37.1854,-113.3583
19724,52048,Commercial CHP,6.3,5.8,6.5,Natural Gas Fired Combustion Turbine,7,2017, , ,OP,36.145896,-86.80383
19724,52048,Commercial CHP,5.2,4,5,Natural Gas Fired Combustion Turbine,7,2002, , ,OS,36.145896,-86.80383
